Thread ID | Job | Operation | Time (s)
----------------------------------------
Thread  0 | Job  0 | Op  0 | 0.00000000 seconds
Thread  0 | Job  4 | Op  0 | 0.00000000 seconds
Thread  0 | Job  8 | Op  0 | 0.00000000 seconds
Thread  0 | Job 12 | Op  0 | 0.00000000 seconds
Thread  0 | Job 16 | Op  0 | 0.00000000 seconds
Thread  0 | Job 20 | Op  0 | 0.00000000 seconds
Thread  0 | Job 24 | Op  0 | 0.00000000 seconds
Thread  0 | Job  0 | Op  1 | 0.00000000 seconds
Thread  0 | Job  4 | Op  1 | 0.00000000 seconds
Thread  0 | Job  8 | Op  1 | 0.00000000 seconds
Thread  0 | Job 12 | Op  1 | 0.00000000 seconds
Thread  0 | Job 16 | Op  1 | 0.00000000 seconds
Thread  0 | Job 20 | Op  1 | 0.00000000 seconds
Thread  0 | Job 24 | Op  1 | 0.00000000 seconds
Thread  0 | Job  0 | Op  2 | 0.00000000 seconds
Thread  0 | Job  4 | Op  2 | 0.00000000 seconds
Thread  0 | Job  8 | Op  2 | 0.00000000 seconds
Thread  0 | Job 12 | Op  2 | 0.00000000 seconds
Thread  0 | Job 16 | Op  2 | 0.00000000 seconds
Thread  0 | Job 20 | Op  2 | 0.00000000 seconds
Thread  0 | Job 24 | Op  2 | 0.00000000 seconds
Thread  0 | Job  0 | Op  3 | 0.00000000 seconds
Thread  0 | Job  4 | Op  3 | 0.00000000 seconds
Thread  0 | Job  8 | Op  3 | 0.00000000 seconds
Thread  0 | Job 12 | Op  3 | 0.00000000 seconds
Thread  0 | Job 16 | Op  3 | 0.00000000 seconds
Thread  0 | Job 20 | Op  3 | 0.00000000 seconds
Thread  0 | Job 24 | Op  3 | 0.00000000 seconds
Thread  0 | Job  0 | Op  4 | 0.00000000 seconds
Thread  0 | Job  4 | Op  4 | 0.00000000 seconds
Thread  0 | Job  8 | Op  4 | 0.00000000 seconds
Thread  0 | Job 12 | Op  4 | 0.00000000 seconds
Thread  0 | Job 16 | Op  4 | 0.00000000 seconds
Thread  0 | Job 20 | Op  4 | 0.00000000 seconds
Thread  0 | Job 24 | Op  4 | 0.00000000 seconds
Thread  0 | Job  0 | Op  5 | 0.00000000 seconds
Thread  0 | Job  4 | Op  5 | 0.00000000 seconds
Thread  0 | Job  8 | Op  5 | 0.00000000 seconds
Thread  0 | Job 12 | Op  5 | 0.00000000 seconds
Thread  0 | Job 16 | Op  5 | 0.00000000 seconds
Thread  0 | Job 20 | Op  5 | 0.00000000 seconds
Thread  0 | Job 24 | Op  5 | 0.00000000 seconds
Thread  0 | Job  0 | Op  6 | 0.00000000 seconds
Thread  0 | Job  4 | Op  6 | 0.00000000 seconds
Thread  0 | Job  8 | Op  6 | 0.00000000 seconds
Thread  0 | Job 12 | Op  6 | 0.00000000 seconds
Thread  0 | Job 16 | Op  6 | 0.00000000 seconds
Thread  0 | Job 20 | Op  6 | 0.00000000 seconds
Thread  0 | Job 24 | Op  6 | 0.00000000 seconds
Thread  0 | Job  0 | Op  7 | 0.00000000 seconds
Thread  0 | Job  4 | Op  7 | 0.00000000 seconds
Thread  0 | Job  8 | Op  7 | 0.00000000 seconds
Thread  0 | Job 12 | Op  7 | 0.00000000 seconds
Thread  0 | Job 16 | Op  7 | 0.00000000 seconds
Thread  0 | Job 20 | Op  7 | 0.00000000 seconds
Thread  0 | Job 24 | Op  7 | 0.00000000 seconds
Thread  0 | Job  0 | Op  8 | 0.00000000 seconds
Thread  0 | Job  4 | Op  8 | 0.00000000 seconds
Thread  0 | Job  8 | Op  8 | 0.00000000 seconds
